Newspaper Name,Issue No,Date (mm/dd/yyyy),Content,Source,Image
The New-York Gazette,238,5/18/1730,"Ran Away, a Negro Man named Quash, from his master Cornelius DePeyster of New York City. The said Negro has thick lips, and has lost a foretooth. Whoever can take up said negro man and bring him to his Master, or secure him and give Notice, so that his Master can get him again, shall have forty shillings reward and all reasonable Charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,239,5/25/1730,"Run away from Soloman Bates o f Elizabeth-Town a Negroe man named Clause, aged about 27 years old, has got with him a Homespun Coat of Linen and Wool, with Brass Buttons, an Ozenbrig Vest with black Buttons and Button­ holes, and an old striped vest, Leather Breeches, new homespun Worsted Stockings, black shoes with Buckles, he has a Hat and Cap and he can play upon the Fiddle and speaks English and Dutch. Whoever can take up the said Negroe and bring him to his said Master, or secure him and give Notice, so that his Master can have him again, shall have reasonable satisfaction besides all reasonable charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,253,8/31/1730,"Run Away last Tuesday two Negro Men, both branded RN on their shoulders; one remarkably scarrified over the forehead, clothed with trousers, The other with a coat and trousers. Whoever brings the said Negroes to Jason Vaughn in New-York, shall have thirty shillings and all reasonable charges paid.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,329,1/30/1732,"Run away about 10 o ’clock Thursday last, from John Cannon, New York City, three Negroes with a sloop belonging to said Cannon, burthen about 35 tons. W hoever takes up and returns said Negroe Men and the Sloop shall receive Twenty Pounds and all reasonable Charges from John Cannon.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,342,5/8/1732,"Run Away from Solomon Baites of Elizabeth Town in NewJersey, a Negro Man named Clauss, about 28 years old, but he sometimes calls himself Nicolas, he formerly belonged to Daniel Bagley. He has taken with him a grey Home spun Drugget Coat trim’d with Black, a homespun Kearsey Vest, a Pair of Leather Breeches with red Puffs and Shoes and Stockings, he can play on a Fiddle tolerable well, He is of a middle Stature. Whoever takes up the said Negro and give Notice, so that his Master can have him again, shall have a reasonable reward besides reasonable Charge. And all persons are hereby forbid to entertain said Negro as they will answer at the utmost Severity of the Law.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,369,11/13/1732,"Ran away from Joseph Reade of New York City, merchant, the 14th of November, 1732, a likely mullatto servant woman, named Sarah. She is about 24 years of age, and she has taken with her a callico Suit of Cloathes, a striped Satteen silk wastecoat, Two Homespun waste-Coates and Petty-coat; she is a handy Wench, can do all sorts of House­ work, speaks good English and some Dutch. Whoever takes up the said Servant, and will bring her to her late Master, shall have five pounds as a Reward and all reasonable Charges paid.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,415,10/1/1733,"Ran away the 18th of August, 1733 from Jacobus Van Cortlandt, New York City, a Negro man slave named Andrew Saxon, a tall lusty fellow, is very black, walks stooping and somewhat lamish with his left leg; the thumb of his left hand is somewhat stiff by a wound he had in his hand; the shirts he had with him and on his back are marked with a Cross on the left breast; he professeth himself to be a Roman Catholic, speaks very good English, is a carpenter and a cooper by trade and has a Broad-Ax with him, a Twofoot rule and a Howell-hovel. He had on a pair of linnen or ozenbrig breeches, and an old coat, but ’tis uncertain what other Cloathes he has with him. W hoever takes up and secures the said Negro Man, and gives Notice to his said Master, so that he may be had again, shall have Forty Shillings if taken within Ten Miles of the City of New-York, and Three Pounds if further, as a Reward, and all reasonable Charges paid by Jacob Van Cortlandt.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.

Also at: https://digitalcollections.nypl.org/items/96f6a3b0-c618-012f-13bb-58d385a7bc34?canvasIndex=0 ",
The New-York Gazette,416,10/8/1733,"Ran Away from Robert Pierson of Notingham near Trentown, a Negro Man, named Jack, a lusty stout well set Fellow, a little Pock-broken, aged 30 years: He had on when he went away, a dark brown straight bodied Coat with Brass buttons, a light coloured great Coat, two homespun Tow Shirts, two Pair of Drawers, a Pair of Orange coloured Stockings and indifferent Pair of Shoes, a good Felt Hat. Whoever shall take up the said Negro man, and secure him or bring him to his said Master, or given Notice to Mr. Samuel Bayard in New York, shall have Forty Shillings reward, besides all reasonable charges, per me. Robert Pierson.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,21,6/10/1734,"Hackingsack, June 7, 1734. RUN out of the Goal of the County of Bergin last Night, one Jacob Powelse of H ackingsack, aged 40 Years or thereabouts, middle Stature, Molatto Man, lame in one of his Finger, he had on when he went away a yellow Coat with old Buttons, and homespun Holland Westcoat and Bretches. W hoever takes up and secures the said Jacob Powelse so that he may be brought back to the Goal at Hackingsack, shall have 3 Pounds Reward paid by me Par. Parmyter, Sheriff.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,452,6/24/1734,"Runaway last Wednesday from Judith Vincent in Monmouth County in New Jersey an Indian Man, named Stoffels, speaks good English, about Forty years of age, he is a House Carpenter, a Cooper, a W heelwright and is a good Butcher also. There is also two others gone along with him, one being half Indian and half Negro and the other a Mulatto about 30 years of age & plays upon the violin and has it with him. Whoever takes up & secures said Fellow so that he may be had again shall have forty shillings as a reward and all reasonable charges paid by the said Judith Vincent. N.B. It is supposed’d they are all going together in a Canow towards Connecticut or Rhode Island.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,43,8/26/1734,"Run away from Johanna Kelsall of the City of New-York, a Negroe Man known by the Name of Johnsey here in Town, but writes his Name Jonathan Stow, about 25 Years of Age, of short Stature, bandy Legs, blubber Lips, yellow Complexion, his Hair is neither right Negro nor Indian, but between both, and pretty long, he had on when he went away a homespun Jacket, a pair of Trowsers, and a speckled Shirt. Whoever takes up the said Negro and secures him, or brings him to his Mistress, shall have 40 Shillings Reward and all Reasonable Charges paid by me Johanna Kelsall.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
American Weekly Mercury (Philadelphia),773,10/24/1734,"Run away the 26 of June last, from Samuel Leonard of Perth Amboy in New Jersey, a thick short Fellow, having but one Eye, he is half Indian half Negro tho’s as black as most Negroes; he had on when he went away a blue Coat; his name is Wan, he plays on the Fiddle and speaks good English and this country Indian. Any person bringing this said Fellow to his Master shall have Three Pounds reward with reasonable charges paid by Samuel Leonard.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,100,10/6/1735,"Run away from Arent Bradt of Schinectady in the County of Albany, on Sunday the 28th of September last, a Negro Man, named William Smith, he is an indented Servant and no Slave; he is a pretty lusty well set Fellow, full fac’d, and in Colour like the Madagascar Negroes, speaks English, High and Low Dut[c]h, understands all Sorts of Husbandry Work, and something of the Trade of a Black-Smith; had on when he went away a Linnen Wastcoat and Breeches, homespun Stockings, and English Shoes, and carried with him a light coloured Frize Jacket, and a Pair of Linnen Breeches. Any Person that takes up the said Negro Man Servant, and secures so that his Master may have him again, shall have five Pounds Reward and all reasonable Charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,523,10/27/1735,"Ran Away from Zebulon Stout of Somerset County, a Negro Man named Tom, He is about Thirty-five years Old, and is a well set Fellow, but of a thin Visage. He speaks good English; he went away in a brown home-spun Vest lined with Orange coloured Shalune, an old Bever Hat, gray Yam Stockins and New Shoes. This Negro is well known at Woodbridge and Elizabeth-Town. Whoever takes up the said Negro and gives notice to his Master, so that he can have him again, shall have Twenty Shillings Reward and all reasonable Charges paid them. Zebulon Stout.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,131,5/10/1736,"Run away, 2d of this instant May a Servant Man named John Watson aged about 40 Years, is a short thick Man, fair Complexion, born near New-Castle on Delaware lately redeemed out of Bergin County Goal by Cornelius Wynkoop and Elizabeth Antony, storekeepers, of the said County, for a Considerable Sum of Money, he had on when he went away a Duroys Coat light brown, a Kersey Coat, dark Brown, with Brass Buttons, a Striped Holland Wastcoat and Britches of the same, wears a Wigg or Cap, is very subject to Drink, it is supposed that he has with him a Negro Man named Johnny a middle Sized slender Fellow, Pock broken, about 35 Years of Age, is a very good Cooper, speaks English, French and Dutch and can read and Write, had on an Iron Gray Great Coat, what other Cloath is uncertain, his Master’s Name is Peter Valleau. There is also with them another Negro Fellow, named Cato, aged about 22 Years a likely Fellow some thing taller than the above described and some thing thicker a Native of Madagascar, speaks good English and Dutch had on when he went away, a black homespun Coat with Brass Buttons, a striped homespun jacket and homespun Stockins. had with him 2 pair of new Shooes.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The American Weekly Mercury (Philadelphia),933,11/10/1737,"Ran-away the 3rd of this Inst, of November from Alexander Morgan of W aterford Township in Gloucester County in West New Jersey; a Negro Man named Cesar aged about 24 years, a tall slim Fellow with small leggs & Great Feet, had on when he went away a felt Hat, a Cotton Cap, a Homespun Coat with brass Buttons, a West-coat without sleeves, an Oznabrigs Shirt, Leather Breeches with Brass Buttons, a pair of worsted Stockings and a pair of yarn ones, two pair of peak’d toe’d Shoes; he took with him some Bedding in particular a new gray Blanket. He took a boat and went to Philadelphia, and ty ’d the Boat to the backside of Anthony M orris’s W harf and is supposed he will Endeavour to get Aboard of some Vessel to go to Sea and pass for a free Negro. Whoever takes up said Negro and secures him so that his master may have him again shall have Twenty Shillings Reward paid by Alexander Morgan. N.B. All persons are hereby forewarn’d of Entertaining him. He ran away about a month before and had got in a Sailors dress in order to get aboard a Vessel to go as he said to Barbadoes.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,634,12/19/1737,"Ran away from John Bell, of New York City, carpenter, one Negro woman named Jenney, 14-15 years, born in N ew York, speaks English and some Dutch. She has a flat Nose, thick Lips, and full faced; had on when she went away, a Birds eyed Waistcoat and Pettycoat of a darkish colour, and a Callico Waistcoat with a large red flower, and a broad stripe, a Callico Pettycoat with small stripes and small red flowers. Whoever shall take up said Negro Wench and bring her to said John Bell, or secure her and give Notice, so that he can have her again, shall have Three Pounds as a Reward, and all reasonable Charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,664,7/24/1738,"Ran away from James Thompson of Piscattaway in NewJersey, a lusty M adagascar man, of a yallowish Complexion, has a small Scar on his nose, and talks good English. He formerly belonged to Capt. John Reid of Monmouth County. He had on when he went away, a Flannel Shirt, and old torn Breeches. Whoever shall take up said Negro Man and convey him to his Master, or secure him and give Notice, so that his Master can have him again, shall have Twenty-Five Shillings, besides reasonable Charges, paid by James Thompson.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Gazette,664,7/24/1738,"Ran Away from John Hunt of Hopewell in the County of Hunterdon and Province of West-New-Jersey, on the 25th Day of this Instant July, a Negro Man named Peet, he had on when he went away, a Gray home-spun Coat with Brass Buttons, and a gadfel Hatt, a Tow Shirt and Breeches, with Shoes and Stockings. He is a Lusty well sett Fellow, about 28 years of Age, and was born upon Long-Island and speaks and reads good English. W hoever takes up the said Negro and secures him, so that the said John Hunt may have him again, shall have Three Pounds Reward, and reasonable charges paid by John Hunt. N.B. The said Negro calls himself Peter Waldren, and pretends to be a Free-Man.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,253,10/2/1738,"Run away from Frederick Zepperly of R heinbeck in Dutchess County Black Smith, a copper coloured Negro fellow named Jack, aged about 30 years, speaks nothing but English and has been much used to the Sea, Short of Stature, thin Face, strong bearded and hair longer than Negroes commonly have and reads English, he had on when he went away an Orange Coloured Drugget Fly Coat somewhat faded, with brass Buttons a Homespun Linnen Coat, two striped Linsey Wolsey Waistcoats and two pair of Breeches the same also one pair of Leather Breeches a pair of W orsted Stockings and a pair of New Blew Yarn stockings, New square toes Shoes with Brass Buckles two homespun Shirts and a very good Hat. Whoever takes up said Run away and secures him so that his Master may have him again or gives notice of him to Henry Beekman, Esq or to John Peter Zenger shall have Forty Shillings reward and all reasonable Charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,318,1/14/1740,"Run away from Gabriel Cooke, a Negro Man named Jupiter of middle Stature, about 25 years of age; had on when he went away a Carfey Coat and Jacket, a Pair of Yellow Leather Britches, good Shoes and Stockings. Whosoever will take up and Secure the said Negro Man so that his Master may have him again shall have 30 Shillings as a reward and all reasonable Charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,342,6/23/1740,"Run away from Thomas White of Shrewsbury a certain lusty Negroe Fellow named James, he has had his Right Shoulder out and still so which by lifting up his Arm may be soon discover’d; he had on when he went away a Homespun Coat, thread Stockings, and a new pair of Pumps. Whosoever takes up the said Negroe and Secures him so that his Master may have him again shall have Twenty Shillings as a Reward and all Reasonable Charges paid by Thomas White.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The Pennsylvania Gazette (Philadelphia),613,9/11/1740,"Run away on the 23rd past, from Jam es Leonard of Kingston in Middlesex County, East-New-Jersey a Negroe M an named Sim on, aged about 40 years, is a well-set Fellow, about 5 feet 10 inches high, has large Eyes, and a Foot 12 inches long; he was bred and born in this Country, talks good English, can read and write, is very slow in his Speech, can bleed and draw Teeth, Pretending to be a great Doctor and very religious and says he is a Churchman. Had on a dark grey Broadcloth Coat, with other good Apparel, and peeked toe’d Shoes. He took with him a black Horse, about 13 hands and a half high, a Star in his forehead, branded with 2 on the near Thigh or Shoulder and trots, also a black hunting saddle, about half worn. Whoever takes up and secures the said Negro so that his Master may have him again, shall have Three Pounds Reward and reasonable charges, paid by James Leonard.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,360,10/27/1740,"Run away the first of October, 1740, from John Breese, of the City of New-York, Leather Dresser, a Mullatto Indian Slave Named, Galloway. Aged 21 Years, about five foot four Inches high, a thin body, face markt with Small-Pox, he was born in the fort at Albany, can speak Dutch, and lived many Years with Paul Richards, Esq; some Years Mayor of this City; had on when he went away a dark gray homespun Jacket lin’d with the same, a pair o f Linnen Breeches, and new Shoes; on the 3 Instant he was seen and challenged at Coll. Phillipse’s Mill, and escaped by asserting he was sent in pursuit of a Cuba Man Run away, and took the Road towards New-England, he loves Rum and other strong liquors and when Tipsey, is a brave fellow and very abusive; Whoever Secures the said Slave so that his Master or his Attorney may dispose of him shall have F orty Shillings, Reward and Reasonable Charges paid by, John Breese.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
American Weekly Mercury (Philadelphia),1131,8/27/1741,"Run away on the 23rd of August past from Philip French of New-Brunswick, in East-New-Jersey, a Negro Man named Claus, of middle Stature, yellowish Complexion, about 45 years of age, speaks Dutch and good English. He had on when he went away, a brown Kersey Wastecoat lined with red Peniston, a black Stock with a silver clasp, a pair of Oznabrigs Trowsers, and Breeches, an Oznabrigs Shirt, a striped Woollen Cap, square Toed Shoes, and an old Hat. He took with him a red double-breasted Wastecoat lined with blue Shalloon and trim ’d with black. He is a Fiddler and took his Fiddle with him, he uses the Bow with his left Hand. Whoever shall take up the said Negro Man and bring or send him to his Master above mentioned, shall have a Reward of Three Pounds, and all reasonable Charges, paid by Philip French.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
The New-York Weekly Journal,461,9/27/1742,"Run away for Johannes Van Houten of Bergin in the Province of New-Jersey, a Malagasco yellow Negro wench, aged about 41 years, of middle Stature, well-set, a Scar on her right Cheek from her Ear to her Chin, she speaks very good Dutch. Whoever takes up the said Wench and brings her to her Master at Bergen, or to William Rome, Esq. in New-York, shall have 20 Shillings and all reasonable Charges.","Hodges, Graham Russell Gao, and Alan Edward Brown, eds. “Pretends to Be Free”: Runaway Slave Advertisements from Colonial and Revolutionary New York and New Jersey. 1st ed. Fordham University Press, 2019. https://doi.org/10.2307/j.ctv7xbrzd.",
