Newspaper Name,Issue No,Date ,Content
The New-York Gazette,369,11/13/1732,"Ran away from Joseph Reade of New York City, merchant, the 14th of November, 1732, a likely mullatto servant woman, named Sarah. She is about 24 years of age, and she has taken with her a callico Suit of Cloathes, a striped Satteen silk wastecoat, Two Homespun waste-Coates and Petty-coat; she is a handy Wench, can do all sorts of House­ work, speaks good English and some Dutch. Whoever takes up the said Servant, and will bring her to her late Master, shall have five pounds as a Reward and all reasonable Charges paid."
The New-York Gazette,415,10/1/1733,"Ran away the 18th of August, 1733 from Jacobus Van Cortlandt, New York City, a Negro man slave named Andrew Saxon, a tall lusty fellow, is very black, walks stooping and somewhat lamish with his left leg; the thumb of his left hand is somewhat stiff by a wound he had in his hand; the shirts he had with him and on his back are marked with a Cross on the left breast; he professeth himself to be a Roman Catholic, speaks very good English, is a carpenter and a cooper by trade and has a Broad-Ax with him, a Twofoot rule and a Howell-hovel. He had on a pair of linnen or ozenbrig breeches, and an old coat, but ’tis uncertain what other Cloathes he has with him. W hoever takes up and secures the said Negro Man, and gives Notice to his said Master, so that he may be had again, shall have Forty Shillings if taken within Ten Miles of the City of New-York, and Three Pounds if further, as a Reward, and all reasonable Charges paid by Jacob Van Cortlandt."
The New-York Gazette,416,10/8/1733,"Ran Away from Robert Pierson of Notingham near Trentown, a Negro Man, named Jack, a lusty stout well set Fellow, a little Pock-broken, aged 30 years: He had on when he went away, a dark brown straight bodied Coat with Brass buttons, a light coloured great Coat, two homespun Tow Shirts, two Pair of Drawers, a Pair of Orange coloured Stockings and indifferent Pair of Shoes, a good Felt Hat. Whoever shall take up the said Negro man, and secure him or bring him to his said Master, or given Notice to Mr. Samuel Bayard in New York, shall have Forty Shillings reward, besides all reasonable charges, per me. Robert Pierson."
The New-York Weekly Journal,21,6/10/1734,"Hackingsack, June 7, 1734. RUN out of the Goal of the County of Bergin last Night, one Jacob Powelse of H ackingsack, aged 40 Years or thereabouts, middle Stature, Molatto Man, lame in one of his Finger, he had on when he went away a yellow Coat with old Buttons, and homespun Holland Westcoat and Bretches. W hoever takes up and secures the said Jacob Powelse so that he may be brought back to the Goal at Hackingsack, shall have 3 Pounds Reward paid by me Par. Parmyter, Sheriff."
The New-York Gazette,452,6/24/1734,"Runaway last Wednesday from Judith Vincent in Monmouth County in New Jersey an Indian Man, named Stoffels, speaks good English, about Forty years of age, he is a House Carpenter, a Cooper, a W heelwright and is a good Butcher also. There is also two others gone along with him, one being half Indian and half Negro and the other a Mulatto about 30 years of age & plays upon the violin and has it with him. Whoever takes up & secures said Fellow so that he may be had again shall have forty shillings as a reward and all reasonable charges paid by the said Judith Vincent. N.B. It is supposed’d they are all going together in a Canow towards Connecticut or Rhode Island."
The New-York Weekly Journal,43,8/26/1734,"Run away from Johanna Kelsall of the City of New-York, a Negroe Man known by the Name of Johnsey here in Town, but writes his Name Jonathan Stow, about 25 Years of Age, of short Stature, bandy Legs, blubber Lips, yellow Complexion, his Hair is neither right Negro nor Indian, but between both, and pretty long, he had on when he went away a homespun Jacket, a pair of Trowsers, and a speckled Shirt. Whoever takes up the said Negro and secures him, or brings him to his Mistress, shall have 40 Shillings Reward and all Reasonable Charges paid by me Johanna Kelsall."
American Weekly Mercury (Philadelphia),773,10/24/1734,"Run away the 26 of June last, from Samuel Leonard of Perth Amboy in New Jersey, a thick short Fellow, having but one Eye, he is half Indian half Negro tho’s as black as most Negroes; he had on when he went away a blue Coat; his name is Wan, he plays on the Fiddle and speaks good English and this country Indian. Any person bringing this said Fellow to his Master shall have Three Pounds reward with reasonable charges paid by Samuel Leonard."
The New-York Weekly Journal,100,10/6/1735,"Run away from Arent Bradt of Schinectady in the County of Albany, on Sunday the 28th of September last, a Negro Man, named William Smith, he is an indented Servant and no Slave; he is a pretty lusty well set Fellow, full fac’d, and in Colour like the Madagascar Negroes, speaks English, High and Low Dut[c]h, understands all Sorts of Husbandry Work, and something of the Trade of a Black-Smith; had on when he went away a Linnen Wastcoat and Breeches, homespun Stockings, and English Shoes, and carried with him a light coloured Frize Jacket, and a Pair of Linnen Breeches. Any Person that takes up the said Negro Man Servant, and secures so that his Master may have him again, shall have five Pounds Reward and all reasonable Charges."
The New-York Gazette,523,10/27/1735,"Ran Away from Zebulon Stout of Somerset County, a Negro Man named Tom, He is about Thirty-five years Old, and is a well set Fellow, but of a thin Visage. He speaks good English; he went away in a brown home-spun Vest lined with Orange coloured Shalune, an old Bever Hat, gray Yam Stockins and New Shoes. This Negro is well known at Woodbridge and Elizabeth-Town. Whoever takes up the said Negro and gives notice to his Master, so that he can have him again, shall have Twenty Shillings Reward and all reasonable Charges paid them. Zebulon Stout."
The New-York Weekly Journal,131,5/10/1736,"Run away, 2d of this instant May a Servant Man named John Watson aged about 40 Years, is a short thick Man, fair Complexion, born near New-Castle on Delaware lately redeemed out of Bergin County Goal by Cornelius Wynkoop and Elizabeth Antony, storekeepers, of the said County, for a Considerable Sum of Money, he had on when he went away a Duroys Coat light brown, a Kersey Coat, dark Brown, with Brass Buttons, a Striped Holland Wastcoat and Britches of the same, wears a Wigg or Cap, is very subject to Drink, it is supposed that he has with him a Negro Man named Johnny a middle Sized slender Fellow, Pock broken, about 35 Years of Age, is a very good Cooper, speaks English, French and Dutch and can read and Write, had on an Iron Gray Great Coat, what other Cloath is uncertain, his Master’s Name is Peter Valleau. There is also with them another Negro Fellow, named Cato, aged about 22 Years a likely Fellow some thing taller than the above described and some thing thicker a Native of Madagascar, speaks good English and Dutch had on when he went away, a black homespun Coat with Brass Buttons, a striped homespun jacket and homespun Stockins. had with him 2 pair of new Shooes."
The American Weekly Mercury (Philadelphia),933,11/10/1737,"Ran-away the 3rd of this Inst, of November from Alexander Morgan of W aterford Township in Gloucester County in West New Jersey; a Negro Man named Cesar aged about 24 years, a tall slim Fellow with small leggs & Great Feet, had on when he went away a felt Hat, a Cotton Cap, a Homespun Coat with brass Buttons, a West-coat without sleeves, an Oznabrigs Shirt, Leather Breeches with Brass Buttons, a pair of worsted Stockings and a pair of yarn ones, two pair of peak’d toe’d Shoes; he took with him some Bedding in particular a new gray Blanket. He took a boat and went to Philadelphia, and ty ’d the Boat to the backside of Anthony M orris’s W harf and is supposed he will Endeavour to get Aboard of some Vessel to go to Sea and pass for a free Negro. Whoever takes up said Negro and secures him so that his master may have him again shall have Twenty Shillings Reward paid by Alexander Morgan. N.B. All persons are hereby forewarn’d of Entertaining him. He ran away about a month before and had got in a Sailors dress in order to get aboard a Vessel to go as he said to Barbadoes."
The New-York Gazette,634,12/19/1737,"Ran away from John Bell, of New York City, carpenter, one Negro woman named Jenney, 14-15 years, born in N ew York, speaks English and some Dutch. She has a flat Nose, thick Lips, and full faced; had on when she went away, a Birds eyed Waistcoat and Pettycoat of a darkish colour, and a Callico Waistcoat with a large red flower, and a broad stripe, a Callico Pettycoat with small stripes and small red flowers. Whoever shall take up said Negro Wench and bring her to said John Bell, or secure her and give Notice, so that he can have her again, shall have Three Pounds as a Reward, and all reasonable Charges."
The New-York Gazette,664,7/24/1738,"Ran away from James Thompson of Piscattaway in NewJersey, a lusty M adagascar man, of a yallowish Complexion, has a small Scar on his nose, and talks good English. He formerly belonged to Capt. John Reid of Monmouth County. He had on when he went away, a Flannel Shirt, and old torn Breeches. Whoever shall take up said Negro Man and convey him to his Master, or secure him and give Notice, so that his Master can have him again, shall have Twenty-Five Shillings, besides reasonable Charges, paid by James Thompson."
The New-York Gazette,664,7/24/1738,"Ran Away from John Hunt of Hopewell in the County of Hunterdon and Province of West-New-Jersey, on the 25th Day of this Instant July, a Negro Man named Peet, he had on when he went away, a Gray home-spun Coat with Brass Buttons, and a gadfel Hatt, a Tow Shirt and Breeches, with Shoes and Stockings. He is a Lusty well sett Fellow, about 28 years of Age, and was born upon Long-Island and speaks and reads good English. W hoever takes up the said Negro and secures him, so that the said John Hunt may have him again, shall have Three Pounds Reward, and reasonable charges paid by John Hunt. N.B. The said Negro calls himself Peter Waldren, and pretends to be a Free-Man."
The New-York Weekly Journal,253,10/2/1738,"Run away from Frederick Zepperly of R heinbeck in Dutchess County Black Smith, a copper coloured Negro fellow named Jack, aged about 30 years, speaks nothing but English and has been much used to the Sea, Short of Stature, thin Face, strong bearded and hair longer than Negroes commonly have and reads English, he had on when he went away an Orange Coloured Drugget Fly Coat somewhat faded, with brass Buttons a Homespun Linnen Coat, two striped Linsey Wolsey Waistcoats and two pair of Breeches the same also one pair of Leather Breeches a pair of W orsted Stockings and a pair of New Blew Yarn stockings, New square toes Shoes with Brass Buckles two homespun Shirts and a very good Hat. Whoever takes up said Run away and secures him so that his Master may have him again or gives notice of him to Henry Beekman, Esq or to John Peter Zenger shall have Forty Shillings reward and all reasonable Charges."
The New-York Weekly Journal,318,1/14/1740,"Run away from Gabriel Cooke, a Negro Man named Jupiter of middle Stature, about 25 years of age; had on when he went away a Carfey Coat and Jacket, a Pair of Yellow Leather Britches, good Shoes and Stockings. Whosoever will take up and Secure the said Negro Man so that his Master may have him again shall have 30 Shillings as a reward and all reasonable Charges."
The New-York Weekly Journal,342,6/23/1740,"Run away from Thomas White of Shrewsbury a certain lusty Negroe Fellow named James, he has had his Right Shoulder out and still so which by lifting up his Arm may be soon discover’d; he had on when he went away a Homespun Coat, thread Stockings, and a new pair of Pumps. Whosoever takes up the said Negroe and Secures him so that his Master may have him again shall have Twenty Shillings as a Reward and all Reasonable Charges paid by Thomas White."
The Pennsylvania Gazette (Philadelphia),613,9/11/1740,"Run away on the 23rd past, from Jam es Leonard of Kingston in Middlesex County, East-New-Jersey a Negroe M an named Sim on, aged about 40 years, is a well-set Fellow, about 5 feet 10 inches high, has large Eyes, and a Foot 12 inches long; he was bred and born in this Country, talks good English, can read and write, is very slow in his Speech, can bleed and draw Teeth, Pretending to be a great Doctor and very religious and says he is a Churchman. Had on a dark grey Broadcloth Coat, with other good Apparel, and peeked toe’d Shoes. He took with him a black Horse, about 13 hands and a half high, a Star in his forehead, branded with 2 on the near Thigh or Shoulder and trots, also a black hunting saddle, about half worn. Whoever takes up and secures the said Negro so that his Master may have him again, shall have Three Pounds Reward and reasonable charges, paid by James Leonard."
The New-York Weekly Journal,360,10/27/1740,"Run away the first of October, 1740, from John Breese, of the City of New-York, Leather Dresser, a Mullatto Indian Slave Named, Galloway. Aged 21 Years, about five foot four Inches high, a thin body, face markt with Small-Pox, he was born in the fort at Albany, can speak Dutch, and lived many Years with Paul Richards, Esq; some Years Mayor of this City; had on when he went away a dark gray homespun Jacket lin’d with the same, a pair o f Linnen Breeches, and new Shoes; on the 3 Instant he was seen and challenged at Coll. Phillipse’s Mill, and escaped by asserting he was sent in pursuit of a Cuba Man Run away, and took the Road towards New-England, he loves Rum and other strong liquors and when Tipsey, is a brave fellow and very abusive; Whoever Secures the said Slave so that his Master or his Attorney may dispose of him shall have F orty Shillings, Reward and Reasonable Charges paid by, John Breese."
American Weekly Mercury (Philadelphia),1131,8/27/1741,"Run away on the 23rd of August past from Philip French of New-Brunswick, in East-New-Jersey, a Negro Man named Claus, of middle Stature, yellowish Complexion, about 45 years of age, speaks Dutch and good English. He had on when he went away, a brown Kersey Wastecoat lined with red Peniston, a black Stock with a silver clasp, a pair of Oznabrigs Trowsers, and Breeches, an Oznabrigs Shirt, a striped Woollen Cap, square Toed Shoes, and an old Hat. He took with him a red double-breasted Wastecoat lined with blue Shalloon and trim ’d with black. He is a Fiddler and took his Fiddle with him, he uses the Bow with his left Hand. Whoever shall take up the said Negro Man and bring or send him to his Master above mentioned, shall have a Reward of Three Pounds, and all reasonable Charges, paid by Philip French."
The New-York Weekly Journal,461,9/27/1742,"Run away for Johannes Van Houten of Bergin in the Province of New-Jersey, a Malagasco yellow Negro wench, aged about 41 years, of middle Stature, well-set, a Scar on her right Cheek from her Ear to her Chin, she speaks very good Dutch. Whoever takes up the said Wench and brings her to her Master at Bergen, or to William Rome, Esq. in New-York, shall have 20 Shillings and all reasonable Charges."
The Pennsylvania Gazette (Philadelphia),799,4/5/1744,"Run away the 2nd Instant from Joseph Taylor, of Freehold Township, Monmouth County, East New Jersey, a lusty Negro Man, named Robin, about 20 Years of Age, with a small Wart upon his neck, large Hands and Feet, Had on when he went away, a Brown coloured Fly Coat and Jacket with Pewter Buttons, felt Hat, white homespun Shirt, old homespun Breeches, a Pair of white and black worsted Stockings, a Pair of good Country Shoes. He took with him a brown Mare. Whoever takes up and secures the Negro so that his M aster may have him again, or brings him to his Master, shall have Twenty Shillings, or if Negro and Mare, Thirty Shillings Reward, and reasonable Charges, paid by Joseph Taylor."
The New-York Weekly Journal,559,7/30/1744,"Ran away on W ednesday the 11th o f July fom Gabriel Leggett, West Chester County, a Mollato servant Man of the darkest hue, half Indian, half Negro, named James, a lusty stout fellow, 28, somewhat of a hitch in his walking, which may be seen by taking notice, had on a brown jacket and breeches, a tow-cloth shirt, but poor shoes, and an old shirt. Whoever takes up and secures said negroe so that his master may have him again shall receive forty shillings and reasonable expenses."
The New-York Weekly Journal,599,5/6/1745,"Run away from Robert Sharer of Dutchess County a Negro Man named Harry, 40, slender body, a wollen hat, two broad-cloth’d jackets, one darkish, the other a bright colour, gun metal buttons, leather breeches, a pair of trowsers and grey colour’d stockings Whoever shall secure said Negro Man in any Gaol, so that his Master may get him again, shall receive Forty Shillings Reward, and all reasonable Charges. N.B. He is supposed to be lurking about the city."
The New-York Weekly Journal,602,5/27/1745,"Run away the 20th of April from Joseph Hawkhurst on Long Island, a Negro Man named Tom, 26, of middle stature wearing an old beaver hat, a red duffil jacket, an Ozenbrig shirt and blew breeches and is much given to drink. Whoever will secure the said Negro Man so that his Master may have him again, shall receive Twenty Shillings and all reasonable Charges."
New-York Weekly Post-Boy,146,11/4/1745,"Run away the 26th of October last from Thomas Billow, a Negro Man named Mingo, aged 20 years, this country bom, speaks very good English, of middle stature or rather spare, not very black, is a very active strong fellow; has a scar on the inside of his left thigh, which is not quite healed: Had on when he went away, a Beaver hat about half worn, a very god drugget coat full long for him, Ozenbrig waistcoat and Trowsers, a pair of thin wash-leather breeches, light grey worsted stockings and good coarse shoes. Whoever takes up and secures said Negro and gives notice thereof, so that he may be had again, shall have 405. and all reasonable charges, paid by Thomas Billop. N.B. It is thought he will make for some seaport, in order to enter on board a privateer, ’Tis at their peril who entertains him."
The New-York Weekly Journal,649,5/19/1746,"Run away from John Willet, junr. of Flushing, the 24th of April, a Negro fellow of about 21 years of age, his name is Primus but alters his Name frequently, he is about 6 feet high, and w ell-proportioned, he is of a M alagasco complexion and it is observed that he will lye to that he is not to be believed or depended upon in that respect. Whoever takes up the said Negro and brings him to his Master or secures him so that his Master may have him again, shall be very well rewarded and all reasonable charges paid by me."
The Pennsylvania Gazette (Philadelphia),916,7/3/1746,"Philadelphia July 3, 1746. Runaway on the 19th of June last, from Hugh Martin, of Lebanon, in the County of Hunterdon, a Negroe Man named Jack, about 22 years of age, short, well-made and pitted with the Small-pox. Had on when he went away, a blue Linsey Woollsey Jacket, Tow Shirt and Drawers and an old Felt Hat. Whoever takes up and secures said Negro so that his Master may have him again shall have Twenty Shillings and all Reasonable charges paid by Hugh Martin."
New-York Weekly Post-Boy,187,8/18/1746,"Run away on Sunday the 10th instant from Captain George Hall, of this city, a tall likely young Negroe man named Quaw; he is a cunning and artful fellow, Jamaica born, stutters very much and has one of his ears cropt; he stole away a £5, 12s. and £3 Johannes Pieces and was seen going towards Kingsbridge. Whoever takes up said Negro and brings him to his master, shall have fifty shillings reward and all reasonable charges paid by George Hall."
New-York Weekly Post-Boy,190,9/8/1746,"Run away about 3 weeks ago, from Samuel Clowse, jun. at Jamaica on Long-Island, a Negro man named Frank, about 5 feet and a half high, of a yellow complexion, down Look, pretty much pock broken, pretends to play on the fiddle; had on when he went away an old blue Broadcloth Coat, the other Cloaths unknown and was bred at Mr. Rappelie’s at New York Ferry; Whoever takes up and secures said Slave, so that he may be had again, shall have forty shillings reward, paid by Samuel Clowes, jun."
"The New-York Gazette, Revived in The Weekly Post-Boy",227,4/20/1747,"Run away from Theunis De Klerk of Tappan in Orange County, a Negro Man named Sippee, about 30 years of age, of a middle size, is well-set, speaks good and proper English, and has a hoarse voice: Had on when he went away, a brown short watch-coat, a light colour’d red Jacket, a white Jacket bound round the edges with some other colour, and a Felt hat cock’d up and flattened on the Crown. Whoever takes up said Negro and brings him to his Master, or unto W illiam Vredenburgh of New York shall have 40v reward and all reasonable charges paid by Theunis De Klerk."
The New-York Weekly Journal,701,5/25/1747,"New York, May 23, 1747 Made his escape from on board the Privateer Brig, Pollux, on the 20th inst, a Mulatto man named Storde, a Bermudian Born, aged about 23 years, pretty tall and pock broken, but not very much, but pretty large pits in his face, pretty fair, with his Head commonly shaved in order to make himself pass for a white man, by trade a carpenter; the cloathes he used to wear before he left the vessel, was a check’d shirt, a striped Flannel Jacket, a pair of Oznabrig trousers, a red and white worsted cap, and some other cloathes, but can’t say what they were and believe, that he carried with him both shoes and stockings, with a large pair of silver shoe buckles and a silver stock buckle and also a pair of Gold Sleeve buttons, when in Bermuda, which without doubt he had with him, and which, ’tis thought he will offer to sell. It is very likely that he may be well dress’d as he had good cloath when he left Bermuda. The above mentioned Buckles and Buttons given him by his Master Mr. Thomas Hunt of Bermuda. Whoever takes up the said Mullatto slave and delivers him to Mr. Daniel Stiles at Captain John W aldron’s at New York or to Mr. Philip Wilkinson, merchant at New-Port, Rhode Island, shall have ten pounds, as a reward and all reasonable charges paid by either. Daniel Stiles or Philip Wilkinson."
"The New-York Gazette, Revived in The Weekly Post-Boy",230,6/15/1747,"RUN away from Andrew Reed of Trenton, the 30th of May last, a likely Negro Man named Isaac, about 30 Years of Age, of a middle Stature, and well set; he can play upon a Fiddle: Took with him when he went away, a light colour’d Broad Cloath Jacket, and a Drugget One about the same Colour, a Pair of Leather Breeches, two Ozenbrigg Shirts, and one fine Linnen One with Ruffels at the Breast; a Pair of dark colour’d Yarn Stockings, and a Pair of Shoes half worn: It is supposed he has got more Cloaths with him. Whoever takes up and secures the above Negro Man, so that his Master may have him again, shall have Forty Shillings Reward, paid by Andrew Reed."
"The New-York Gazette, Revived in The Weekly Post-Boy",231,6/22/1747,"Run away from Samuel Tingley, a Negro Man named Andrew; had on when he went away, a blue Cloth Waistcoat, and green Breeches. Whoever takes up the said Negro, and brings him home, shall have Thirty Shillings Reward, and reasonable charges, paid by Samuel Tingley."
"The New-York Gazette, Revived in The Weekly Post-Boy",232,6/30/1747,"RUN away on Saturday the 20th of june past, from Thomas Tindall, of Trenton, in New-Jersey, a Negro Man named Sam; a pretty tall likely Fellow, has lately had the SmallPox, and is pitted with it pretty much, aged about 28 Years: Had on when he went away, a light colour’d Cloth Jacket, Ozenbrigs Trousers, a Pair of Worsted Stockings, half worn Shoes, or Pumps, and an indifferent good Beaver hat; but it’s tho’t has got other Apparel with him, and changed. Whoever takes up and secures said Negro, so that his Master may have him again, shall have Fifty Shillings Reward, and all reasonable Charges paid by THOMAS Tindall."
"The New-York Gazette, Revived in The Weekly Post-Boy",233,7/6/1747,"Ran away for his master Leonard Huff, on the 30th of last month, a Negro man named York, had on when he went away a Linsey woolsey great coat and jacket, the sleeves of his jacket are made of blue drudget shirt and narrow trowsers made of homespun linnen and a pair of shoes with double soals, grey coarse yarn stockings, an old coarse hat cut in the shape of a sailor’s leather cap. W hoever shall cause the slave to be Brought to his master at Middletown, Monmouth County, shall receive Forty Shillings and all reasonable charges, paid by me Leonard Huff."
"The New-York Gazette, Revived in The Weekly Post-Boy",252,11/16/1747,"Run away on the first of October last, from the Widow of Alderman Van Gelder, a Negro Man named Frank, of a tawny complexion, speaks good English and Dutch; had on when he went away, a striped Flannel Jacket, Ozenbrig trousers, old shoes, but no stockings; he has since changed his Cloaths and has seen since his Elopement, to wear a red Duffels great Coat. Whoever takes up said Negro, and brings him to his Mistress, or to Victor Hyer, living near the English Church, shall have forty shillings reward, and all reasonable charges."
"The New-York Gazette, Revived in The Weekly Post-Boy",257,12/21/1747,"RUN away from Robert Sherer, of the Fish-K ills, in Dutchess County, and Colony of New-York, A Negro Slave named Flarry, aged upwards of 40 Years; had on when he went away, a woollen Hat, a worsted Cap, homespun Shirt half worn, homespun Coat, Flannel Waistcoat, homespun Breeches, blue Stockings, pretty good Shoes; he has been gone upwards of 3 Months, and it is supposed that he is conveyed or carried off by some ill minded and malicious Persons. Whoever can find out, or take up and secure said Slave, and give Notice thereof, so that his Master may have him again, shall have Three Pounds Reward, paid by R obert Sherer. N. B. He was taken up and put in New-York Goal, last May was a two Years."
"The New-York Gazette, Revived in The Weekly Post-Boy",257,12/21/1747,"Ran away from George Ryerson, Jr. of Peckquenock, EastNew Jersey, the 18th Day of November, a young Negro Man named Harry, 20, of a middle stature and well-set. Had on when he went away an old Kersey jacket and a Tow linnen jacket under it, a tow linnen shirt and old breeches, black stockings and a pair of shoes. Whoever takes up and secures him so that his Master may have him again, shall receive Twenty Shillings and all reasonable Charges, paid by George Ryerson."
